trip_id,route_id,service_id,direction_id,trip_headsign,trip_short_name,block_id,wheelchair_accessibility,bikes_allowed
42_10,42,FLXP,1,HEADSIGN: 42_10,SHORT NAME: 42_10,,2,1
42_11,42,FLXP,1,HEADSIGN: 42_11,SHORT NAME: 42_11,,1,0
42_12,42,FLXP,1,HEADSIGN: 42_12,SHORT NAME: 42_12,,1,0
42_13,42,FLXP,1,HEADSIGN: 42_13,SHORT NAME: 42_13,,0,1
78_1,78,FLXP,1,HEADSIGN: 78_1,SHORT NAME: 78_1,,1,1
78_2,78,FLXP,1,HEADSIGN: 78_2,SHORT NAME: 78_2,,0,1
78_3,78,FLXP,1,HEADSIGN: 78_3,SHORT NAME: 78_3,,0,1
78_4,78,FLXP,1,HEADSIGN: 78_4,SHORT NAME: 78_4,,1,1
78_5,78,FLXP,1,HEADSIGN: 78_5,SHORT NAME: 78_5,,1,2
78_6,78,FLXP,1,HEADSIGN: 78_6,SHORT NAME: 78_6,,1,2
78_7,78,FLXP,1,HEADSIGN: 78_7,SHORT NAME: 78_7,,1,1
78_8,78,FLXP,1,HEADSIGN: 78_8,SHORT NAME: 78_8,,0,1
78_9,78,FLXP,1,HEADSIGN: 78_9,SHORT NAME: 78_9,,0,1
78_10,78,FLXP,1,HEADSIGN: 78_10,SHORT NAME: 78_10,,1,1
78_11,78,FLXP,1,HEADSIGN: 78_11,SHORT NAME: 78_11,,0,2
78_12,78,FLXP,1,HEADSIGN: 78_12,SHORT NAME: 78_12,,1,1
78_13,78,FLXP,1,HEADSIGN: 78_13,SHORT NAME: 78_13,,2,1
78_14,78,FLXP,1,HEADSIGN: 78_14,SHORT NAME: 78_14,,1,2
78_15,78,FLXP,1,HEADSIGN: 78_15,SHORT NAME: 78_15,,2,2
78_16,78,FLXP,1,HEADSIGN: 78_16,SHORT NAME: 78_16,,0,0
97_1,97,FLXP,1,HEADSIGN: 97_1,SHORT NAME: 97_1,,1,0
97_2,97,FLXP,1,HEADSIGN: 97_2,SHORT NAME: 97_2,,1,0
97_3,97,FLXP,1,HEADSIGN: 97_3,SHORT NAME: 97_3,,1,0
97_4,97,FLXP,1,HEADSIGN: 97_4,SHORT NAME: 97_4,,1,0
97_5,97,FLXP,1,HEADSIGN: 97_5,SHORT NAME: 97_5,,1,2
97_6,97,FLXP,1,HEADSIGN: 97_6,SHORT NAME: 97_6,,2,2
97_7,97,FLXP,1,HEADSIGN: 97_7,SHORT NAME: 97_7,,0,0
97_8,97,FLXP,1,HEADSIGN: 97_8,SHORT NAME: 97_8,,1,1
97_9,97,FLXP,1,HEADSIGN: 97_9,SHORT NAME: 97_9,,1,0
97_10,97,FLXP,1,HEADSIGN: 97_10,SHORT NAME: 97_10,,1,1
97_11,97,FLXP,1,HEADSIGN: 97_11,SHORT NAME: 97_11,,1,0
97_12,97,FLXP,1,HEADSIGN: 97_12,SHORT NAME: 97_12,,1,2
97_13,97,FLXP,1,HEADSIGN: 97_13,SHORT NAME: 97_13,,1,2
100_1,100,FLXP,1,HEADSIGN: 100_1,SHORT NAME: 100_1,,1,2
100_2,100,FLXP,1,HEADSIGN: 100_2,SHORT NAME: 100_2,,1,0
100_3,100,FLXP,1,HEADSIGN: 100_3,SHORT NAME: 100_3,,1,1
100_4,100,FLXP,1,HEADSIGN: 100_4,SHORT NAME: 100_4,,0,1
100_5,100,FLXP,1,HEADSIGN: 100_5,SHORT NAME: 100_5,,0,1
100_6,100,FLXP,1,HEADSIGN: 100_6,SHORT NAME: 100_6,,0,1
100_7,100,FLXP,1,HEADSIGN: 100_7,SHORT NAME: 100_7,,2,0
100_8,100,FLXP,1,HEADSIGN: 100_8,SHORT NAME: 100_8,,0,2
100_9,100,FLXP,1,HEADSIGN: 100_9,SHORT NAME: 100_9,,2,0
100_10,100,FLXP,1,HEADSIGN: 100_10,SHORT NAME: 100_10,,0,2
100_11,100,FLXP,1,HEADSIGN: 100_11,SHORT NAME: 100_11,,2,1
100_12,100,FLXP,1,HEADSIGN: 100_12,SHORT NAME: 100_12,,0,0
100_13,100,FLXP,1,HEADSIGN: 100_13,SHORT NAME: 100_13,,0,2
144_1,144,FLXP,1,HEADSIGN: 144_1,SHORT NAME: 144_1,,2,1
144_2,144,FLXP,1,HEADSIGN: 144_2,SHORT NAME: 144_2,,1,0
144_3,144,FLXP,1,HEADSIGN: 144_3,SHORT NAME: 144_3,,1,0
144_4,144,FLXP,1,HEADSIGN: 144_4,SHORT NAME: 144_4,,1,2
144_5,144,FLXP,1,HEADSIGN: 144_5,SHORT NAME: 144_5,,1,0
144_6,144,FLXP,1,HEADSIGN: 144_6,SHORT NAME: 144_6,,0,1
144_7,144,FLXP,1,HEADSIGN: 144_7,SHORT NAME: 144_7,,1,0
144_8,144,FLXP,1,HEADSIGN: 144_8,SHORT NAME: 144_8,,1,2
144_9,144,FLXP,1,HEADSIGN: 144_9,SHORT NAME: 144_9,,0,0
144_10,144,FLXP,1,HEADSIGN: 144_10,SHORT NAME: 144_10,,1,0
144_11,144,FLXP,1,HEADSIGN: 144_11,SHORT NAME: 144_11,,2,0
144_12,144,FLXP,1,HEADSIGN: 144_12,SHORT NAME: 144_12,,0,1
144_13,144,FLXP,1,HEADSIGN: 144_13,SHORT NAME: 144_13,,1,1
144_14,144,FLXP,1,HEADSIGN: 144_14,SHORT NAME: 144_14,,1,1
144_15,144,FLXP,1,HEADSIGN: 144_15,SHORT NAME: 144_15,,1,2
144_16,144,FLXP,1,HEADSIGN: 144_16,SHORT NAME: 144_16,,1,1
144_17,144,FLXP,1,HEADSIGN: 144_17,SHORT NAME: 144_17,,1,1
144_18,144,FLXP,1,HEADSIGN: 144_18,SHORT NAME: 144_18,,2,0
144_19,144,FLXP,1,HEADSIGN: 144_19,SHORT NAME: 144_19,,1,1
152_1,152,FLXP,1,HEADSIGN: 152_1,SHORT NAME: 152_1,,1,1
152_2,152,FLXP,1,HEADSIGN: 152_2,SHORT NAME: 152_2,,1,1
152_3,152,FLXP,1,HEADSIGN: 152_3,SHORT NAME: 152_3,,2,1
152_4,152,FLXP,1,HEADSIGN: 152_4,SHORT NAME: 152_4,,0,0
152_5,152,FLXP,1,HEADSIGN: 152_5,SHORT NAME: 152_5,,1,2
152_6,152,FLXP,1,HEADSIGN: 152_6,SHORT NAME: 152_6,,2,0
152_7,152,FLXP,1,HEADSIGN: 152_7,SHORT NAME: 152_7,,0,2
152_8,152,FLXP,1,HEADSIGN: 152_8,SHORT NAME: 152_8,,0,1
152_9,152,FLXP,1,HEADSIGN: 152_9,SHORT NAME: 152_9,,0,2
152_10,152,FLXP,1,HEADSIGN: 152_10,SHORT NAME: 152_10,,0,0
152_11,152,FLXP,1,HEADSIGN: 152_11,SHORT NAME: 152_11,,0,1
152_12,152,FLXP,1,HEADSIGN: 152_12,SHORT NAME: 152_12,,1,0
152_13,152,FLXP,1,HEADSIGN: 152_13,SHORT NAME: 152_13,,1,0
185_1,185,FLXP,1,HEADSIGN: 185_1,SHORT NAME: 185_1,,0,1
185_2,185,FLXP,1,HEADSIGN: 185_2,SHORT NAME: 185_2,,1,1
185_3,185,FLXP,1,HEADSIGN: 185_3,SHORT NAME: 185_3,,0,1
185_4,185,FLXP,1,HEADSIGN: 185_4,SHORT NAME: 185_4,,2,1
185_5,185,FLXP,1,HEADSIGN: 185_5,SHORT NAME: 185_5,,1,1
185_6,185,FLXP,1,HEADSIGN: 185_6,SHORT NAME: 185_6,,0,2
185_7,185,FLXP,1,HEADSIGN: 185_7,SHORT NAME: 185_7,,1,1
185_8,185,FLXP,1,HEADSIGN: 185_8,SHORT NAME: 185_8,,2,1
185_9,185,FLXP,1,HEADSIGN: 185_9,SHORT NAME: 185_9,,2,2
185_10,185,FLXP,1,HEADSIGN: 185_10,SHORT NAME: 185_10,,0,2
185_11,185,FLXP,1,HEADSIGN: 185_11,SHORT NAME: 185_11,,1,0
185_12,185,FLXP,1,HEADSIGN: 185_12,SHORT NAME: 185_12,,2,2
185_13,185,FLXP,1,HEADSIGN: 185_13,SHORT NAME: 185_13,,0,2
342_1,342,FLXP,1,HEADSIGN: 342_1,SHORT NAME: 342_1,,1,1
342_2,342,FLXP,1,HEADSIGN: 342_2,SHORT NAME: 342_2,,1,2
342_3,342,FLXP,1,HEADSIGN: 342_3,SHORT NAME: 342_3,,1,1
342_4,342,FLXP,1,HEADSIGN: 342_4,SHORT NAME: 342_4,,2,1
342_5,342,FLXP,1,HEADSIGN: 342_5,SHORT NAME: 342_5,,1,2
342_6,342,FLXP,1,HEADSIGN: 342_6,SHORT NAME: 342_6,,0,1
342_7,342,FLXP,1,HEADSIGN: 342_7,SHORT NAME: 342_7,,1,2
342_8,342,FLXP,1,HEADSIGN: 342_8,SHORT NAME: 342_8,,2,1
342_9,342,FLXP,1,HEADSIGN: 342_9,SHORT NAME: 342_9,,1,1
342_10,342,FLXP,1,HEADSIGN: 342_10,SHORT NAME: 342_10,,1,1
342_11,342,FLXP,1,HEADSIGN: 342_11,SHORT NAME: 342_11,,0,1
342_12,342,FLXP,1,HEADSIGN: 342_12,SHORT NAME: 342_12,,1,1
342_13,342,FLXP,1,HEADSIGN: 342_13,SHORT NAME: 342_13,,1,0
342_14,342,FLXP,1,HEADSIGN: 342_14,SHORT NAME: 342_14,,1,1
342_15,342,FLXP,1,HEADSIGN: 342_15,SHORT NAME: 342_15,,2,2
342_16,342,FLXP,1,HEADSIGN: 342_16,SHORT NAME: 342_16,,1,1
342_17,342,FLXP,1,HEADSIGN: 342_17,SHORT NAME: 342_17,,1,2
342_18,342,FLXP,1,HEADSIGN: 342_18,SHORT NAME: 342_18,,1,1
342_19,342,FLXP,1,HEADSIGN: 342_19,SHORT NAME: 342_19,,2,1
342_20,342,FLXP,1,HEADSIGN: 342_20,SHORT NAME: 342_20,,0,0
342_21,342,FLXP,1,HEADSIGN: 342_21,SHORT NAME: 342_21,,0,2
342_22,342,FLXP,1,HEADSIGN: 342_22,SHORT NAME: 342_22,,1,1
342_23,342,FLXP,1,HEADSIGN: 342_23,SHORT NAME: 342_23,,2,2
342_24,342,FLXP,1,HEADSIGN: 342_24,SHORT NAME: 342_24,,0,1
342_25,342,FLXP,1,HEADSIGN: 342_25,SHORT NAME: 342_25,,0,0
342_26,342,FLXP,1,HEADSIGN: 342_26,SHORT NAME: 342_26,,1,0
342_27,342,FLXP,1,HEADSIGN: 342_27,SHORT NAME: 342_27,,2,2
342_28,342,FLXP,1,HEADSIGN: 342_28,SHORT NAME: 342_28,,1,1
342_29,342,FLXP,1,HEADSIGN: 342_29,SHORT NAME: 342_29,,1,1
342_30,342,FLXP,1,HEADSIGN: 342_30,SHORT NAME: 342_30,,1,0
342_31,342,FLXP,1,HEADSIGN: 342_31,SHORT NAME: 342_31,,0,2
342_32,342,FLXP,1,HEADSIGN: 342_32,SHORT NAME: 342_32,,0,0
342_33,342,FLXP,1,HEADSIGN: 342_33,SHORT NAME: 342_33,,1,0
342_34,342,FLXP,1,HEADSIGN: 342_34,SHORT NAME: 342_34,,0,1
342_35,342,FLXP,1,HEADSIGN: 342_35,SHORT NAME: 342_35,,1,0
342_36,342,FLXP,1,HEADSIGN: 342_36,SHORT NAME: 342_36,,2,2
342_37,342,FLXP,1,HEADSIGN: 342_37,SHORT NAME: 342_37,,1,0
342_38,342,FLXP,1,HEADSIGN: 342_38,SHORT NAME: 342_38,,1,2
342_39,342,FLXP,1,HEADSIGN: 342_39,SHORT NAME: 342_39,,2,2
342_40,342,FLXP,1,HEADSIGN: 342_40,SHORT NAME: 342_40,,0,0
342_41,342,FLXP,1,HEADSIGN: 342_41,SHORT NAME: 342_41,,1,1
342_42,342,FLXP,1,HEADSIGN: 342_42,SHORT NAME: 342_42,,1,2
342_43,342,FLXP,1,HEADSIGN: 342_43,SHORT NAME: 342_43,,2,0
342_44,342,FLXP,1,HEADSIGN: 342_44,SHORT NAME: 342_44,,1,1
342_45,342,FLXP,1,HEADSIGN: 342_45,SHORT NAME: 342_45,,1,2
342_46,342,FLXP,1,HEADSIGN: 342_46,SHORT NAME: 342_46,,2,1
342_47,342,FLXP,1,HEADSIGN: 342_47,SHORT NAME: 342_47,,0,1
342_48,342,FLXP,1,HEADSIGN: 342_48,SHORT NAME: 342_48,,1,0
342_49,342,FLXP,1,HEADSIGN: 342_49,SHORT NAME: 342_49,,1,0
342_50,342,FLXP,1,HEADSIGN: 342_50,SHORT NAME: 342_50,,0,1
342_51,342,FLXP,1,HEADSIGN: 342_51,SHORT NAME: 342_51,,2,0
342_52,342,FLXP,1,HEADSIGN: 342_52,SHORT NAME: 342_52,,1,1
342_53,342,FLXP,1,HEADSIGN: 342_53,SHORT NAME: 342_53,,1,2
342_54,342,FLXP,1,HEADSIGN: 342_54,SHORT NAME: 342_54,,1,0
342_55,342,FLXP,1,HEADSIGN: 342_55,SHORT NAME: 342_55,,1,1
342_56,342,FLXP,1,HEADSIGN: 342_56,SHORT NAME: 342_56,,1,2
342_57,342,FLXP,1,HEADSIGN: 342_57,SHORT NAME: 342_57,,0,1
342_58,342,FLXP,1,HEADSIGN: 342_58,SHORT NAME: 342_58,,1,2
342_59,342,FLXP,1,HEADSIGN: 342_59,SHORT NAME: 342_59,,2,1
342_60,342,FLXP,1,HEADSIGN: 342_60,SHORT NAME: 342_60,,1,1
342_61,342,FLXP,1,HEADSIGN: 342_61,SHORT NAME: 342_61,,2,1
342_62,342,FLXP,1,HEADSIGN: 342_62,SHORT NAME: 342_62,,1,1
342_63,342,FLXP,1,HEADSIGN: 342_63,SHORT NAME: 342_63,,1,1
342_64,342,FLXP,1,HEADSIGN: 342_64,SHORT NAME: 342_64,,1,1
342_65,342,FLXP,1,HEADSIGN: 342_65,SHORT NAME: 342_65,,0,1
342_66,342,FLXP,1,HEADSIGN: 342_66,SHORT NAME: 342_66,,1,1
342_67,342,FLXP,1,HEADSIGN: 342_67,SHORT NAME: 342_67,,1,0
342_68,342,FLXP,1,HEADSIGN: 342_68,SHORT NAME: 342_68,,1,1
342_69,342,FLXP,1,HEADSIGN: 342_69,SHORT NAME: 342_69,,2,2
342_70,342,FLXP,1,HEADSIGN: 342_70,SHORT NAME: 342_70,,1,1
342_71,342,FLXP,1,HEADSIGN: 342_71,SHORT NAME: 342_71,,2,1
342_72,342,FLXP,1,HEADSIGN: 342_72,SHORT NAME: 342_72,,0,1
342_73,342,FLXP,1,HEADSIGN: 342_73,SHORT NAME: 342_73,,0,1
342_74,342,FLXP,1,HEADSIGN: 342_74,SHORT NAME: 342_74,,0,1
342_75,342,FLXP,1,HEADSIGN: 342_75,SHORT NAME: 342_75,,1,1
342_76,342,FLXP,1,HEADSIGN: 342_76,SHORT NAME: 342_76,,1,1
342_77,342,FLXP,1,HEADSIGN: 342_77,SHORT NAME: 342_77,,2,1
342_78,342,FLXP,1,HEADSIGN: 342_78,SHORT NAME: 342_78,,0,0
342_79,342,FLXP,1,HEADSIGN: 342_79,SHORT NAME: 342_79,,2,2
342_80,342,FLXP,1,HEADSIGN: 342_80,SHORT NAME: 342_80,,0,2
342_81,342,FLXP,1,HEADSIGN: 342_81,SHORT NAME: 342_81,,2,1
342_82,342,FLXP,1,HEADSIGN: 342_82,SHORT NAME: 342_82,,0,0
342_83,342,FLXP,1,HEADSIGN: 342_83,SHORT NAME: 342_83,,2,1
342_84,342,FLXP,1,HEADSIGN: 342_84,SHORT NAME: 342_84,,2,2
342_85,342,FLXP,1,HEADSIGN: 342_85,SHORT NAME: 342_85,,1,1
342_86,342,FLXP,1,HEADSIGN: 342_86,SHORT NAME: 342_86,,2,0
342_87,342,FLXP,1,HEADSIGN: 342_87,SHORT NAME: 342_87,,1,0
342_88,342,FLXP,1,HEADSIGN: 342_88,SHORT NAME: 342_88,,2,2
342_89,342,FLXP,1,HEADSIGN: 342_89,SHORT NAME: 342_89,,2,2
342_90,342,FLXP,1,HEADSIGN: 342_90,SHORT NAME: 342_90,,1,0
342_91,342,FLXP,1,HEADSIGN: 342_91,SHORT NAME: 342_91,,1,0
350_1,350,FLXP,1,HEADSIGN: 350_1,SHORT NAME: 350_1,,1,2
350_2,350,FLXP,1,HEADSIGN: 350_2,SHORT NAME: 350_2,,1,2
350_3,350,FLXP,1,HEADSIGN: 350_3,SHORT NAME: 350_3,,1,0
350_4,350,FLXP,1,HEADSIGN: 350_4,SHORT NAME: 350_4,,1,1
350_5,350,FLXP,1,HEADSIGN: 350_5,SHORT NAME: 350_5,,1,1
350_6,350,FLXP,1,HEADSIGN: 350_6,SHORT NAME: 350_6,,1,1
350_7,350,FLXP,1,HEADSIGN: 350_7,SHORT NAME: 350_7,,2,1
350_8,350,FLXP,1,HEADSIGN: 350_8,SHORT NAME: 350_8,,2,1
350_9,350,FLXP,1,HEADSIGN: 350_9,SHORT NAME: 350_9,,1,1
350_10,350,FLXP,1,HEADSIGN: 350_10,SHORT NAME: 350_10,,0,2
350_11,350,FLXP,1,HEADSIGN: 350_11,SHORT NAME: 350_11,,1,0
350_12,350,FLXP,1,HEADSIGN: 350_12,SHORT NAME: 350_12,,1,1
350_13,350,FLXP,1,HEADSIGN: 350_13,SHORT NAME: 350_13,,0,1
350_14,350,FLXP,1,HEADSIGN: 350_14,SHORT NAME: 350_14,,1,1
350_15,350,FLXP,1,HEADSIGN: 350_15,SHORT NAME: 350_15,,1,2
350_16,350,FLXP,1,HEADSIGN: 350_16,SHORT NAME: 350_16,,0,2
350_17,350,FLXP,1,HEADSIGN: 350_17,SHORT NAME: 350_17,,1,1
350_18,350,FLXP,1,HEADSIGN: 350_18,SHORT NAME: 350_18,,1,2
350_19,350,FLXP,1,HEADSIGN: 350_19,SHORT NAME: 350_19,,2,1
350_20,350,FLXP,1,HEADSIGN: 350_20,SHORT NAME: 350_20,,0,1
350_21,350,FLXP,1,HEADSIGN: 350_21,SHORT NAME: 350_21,,2,1
350_22,350,FLXP,1,HEADSIGN: 350_22,SHORT NAME: 350_22,,1,2
350_23,350,FLXP,1,HEADSIGN: 350_23,SHORT NAME: 350_23,,0,0
350_24,350,FLXP,1,HEADSIGN: 350_24,SHORT NAME: 350_24,,0,2
350_25,350,FLXP,1,HEADSIGN: 350_25,SHORT NAME: 350_25,,1,0
350_26,350,FLXP,1,HEADSIGN: 350_26,SHORT NAME: 350_26,,1,2
350_27,350,FLXP,1,HEADSIGN: 350_27,SHORT NAME: 350_27,,2,2
350_28,350,FLXP,1,HEADSIGN: 350_28,SHORT NAME: 350_28,,1,0
350_29,350,FLXP,1,HEADSIGN: 350_29,SHORT NAME: 350_29,,0,1
350_30,350,FLXP,1,HEADSIGN: 350_30,SHORT NAME: 350_30,,1,1
350_31,350,FLXP,1,HEADSIGN: 350_31,SHORT NAME: 350_31,,2,1
350_32,350,FLXP,1,HEADSIGN: 350_32,SHORT NAME: 350_32,,0,1
350_33,350,FLXP,1,HEADSIGN: 350_33,SHORT NAME: 350_33,,0,2
350_34,350,FLXP,1,HEADSIGN: 350_34,SHORT NAME: 350_34,,1,0
350_35,350,FLXP,1,HEADSIGN: 350_35,SHORT NAME: 350_35,,2,0
350_36,350,FLXP,1,HEADSIGN: 350_36,SHORT NAME: 350_36,,2,1
350_37,350,FLXP,1,HEADSIGN: 350_37,SHORT NAME: 350_37,,1,0
350_38,350,FLXP,1,HEADSIGN: 350_38,SHORT NAME: 350_38,,1,1
350_39,350,FLXP,1,HEADSIGN: 350_39,SHORT NAME: 350_39,,0,1
350_40,350,FLXP,1,HEADSIGN: 350_40,SHORT NAME: 350_40,,2,1
350_41,350,FLXP,1,HEADSIGN: 350_41,SHORT NAME: 350_41,,1,0
350_42,350,FLXP,1,HEADSIGN: 350_42,SHORT NAME: 350_42,,0,0
350_43,350,FLXP,1,HEADSIGN: 350_43,SHORT NAME: 350_43,,2,2
350_44,350,FLXP,1,HEADSIGN: 350_44,SHORT NAME: 350_44,,0,0
350_45,350,FLXP,1,HEADSIGN: 350_45,SHORT NAME: 350_45,,1,1
350_46,350,FLXP,1,HEADSIGN: 350_46,SHORT NAME: 350_46,,1,2
350_47,350,FLXP,1,HEADSIGN: 350_47,SHORT NAME: 350_47,,2,2
350_48,350,FLXP,1,HEADSIGN: 350_48,SHORT NAME: 350_48,,1,1
350_49,350,FLXP,1,HEADSIGN: 350_49,SHORT NAME: 350_49,,1,2
350_50,350,FLXP,1,HEADSIGN: 350_50,SHORT NAME: 350_50,,0,1
350_51,350,FLXP,1,HEADSIGN: 350_51,SHORT NAME: 350_51,,0,0
350_52,350,FLXP,1,HEADSIGN: 350_52,SHORT NAME: 350_52,,2,2
350_53,350,FLXP,1,HEADSIGN: 350_53,SHORT NAME: 350_53,,2,2
350_54,350,FLXP,1,HEADSIGN: 350_54,SHORT NAME: 350_54,,2,0
350_55,350,FLXP,1,HEADSIGN: 350_55,SHORT NAME: 350_55,,1,0
350_56,350,FLXP,1,HEADSIGN: 350_56,SHORT NAME: 350_56,,2,1
350_57,350,FLXP,1,HEADSIGN: 350_57,SHORT NAME: 350_57,,1,1
350_58,350,FLXP,1,HEADSIGN: 350_58,SHORT NAME: 350_58,,1,2
350_59,350,FLXP,1,HEADSIGN: 350_59,SHORT NAME: 350_59,,1,2
350_60,350,FLXP,1,HEADSIGN: 350_60,SHORT NAME: 350_60,,1,1
350_61,350,FLXP,1,HEADSIGN: 350_61,SHORT NAME: 350_61,,2,1
364_1,364,FLXP,1,HEADSIGN: 364_1,SHORT NAME: 364_1,,0,1
364_2,364,FLXP,1,HEADSIGN: 364_2,SHORT NAME: 364_2,,0,1
364_3,364,FLXP,1,HEADSIGN: 364_3,SHORT NAME: 364_3,,2,2
364_4,364,FLXP,1,HEADSIGN: 364_4,SHORT NAME: 364_4,,2,1
364_5,364,FLXP,1,HEADSIGN: 364_5,SHORT NAME: 364_5,,0,1
