trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
20_4,8:06:00,8:06:00,TUS20,2,STOP: TUS20,1,1,0
20_5,7:00:00,7:00:00,PHX1,1,STOP: PHX1,1,1,1
20_5,8:21:00,8:21:00,TUS20,2,STOP: TUS20,3,3,1
20_6,7:15:00,7:15:00,PHX1,1,STOP: PHX1,1,2,1
20_6,8:36:00,8:36:00,TUS20,2,STOP: TUS20,2,1,1
20_7,7:30:00,7:30:00,PHX1,1,STOP: PHX1,2,3,0
20_7,8:51:00,8:51:00,TUS20,2,STOP: TUS20,1,1,1
20_8,7:45:00,7:45:00,PHX1,1,STOP: PHX1,0,2,1
20_8,9:06:00,9:06:00,TUS20,2,STOP: TUS20,1,0,1
20_9,8:00:00,8:00:00,PHX1,1,STOP: PHX1,2,2,1
20_9,9:21:00,9:21:00,TUS20,2,STOP: TUS20,1,2,1
20_10,8:15:00,8:15:00,PHX1,1,STOP: PHX1,3,0,1
20_10,9:36:00,9:36:00,TUS20,2,STOP: TUS20,2,2,1
20_11,8:30:00,8:30:00,PHX1,1,STOP: PHX1,1,1,0
20_11,9:51:00,9:51:00,TUS20,2,STOP: TUS20,1,2,0
20_12,8:45:00,8:45:00,PHX1,1,STOP: PHX1,1,0,0
20_12,10:06:00,10:06:00,TUS20,2,STOP: TUS20,3,2,1
20_13,9:00:00,9:00:00,PHX1,1,STOP: PHX1,1,0,0
20_13,10:21:00,10:21:00,TUS20,2,STOP: TUS20,2,3,1
33_1,6:00:00,6:00:00,PHX2,1,STOP: PHX2,1,2,1
33_1,7:07:00,7:07:00,TUS11,2,STOP: TUS11,3,1,1
33_2,6:15:00,6:15:00,PHX2,1,STOP: PHX2,1,1,1
33_2,7:22:00,7:22:00,TUS11,2,STOP: TUS11,3,1,1
33_3,6:30:00,6:30:00,PHX2,1,STOP: PHX2,2,3,1
33_3,7:37:00,7:37:00,TUS11,2,STOP: TUS11,2,2,0
33_4,6:45:00,6:45:00,PHX2,1,STOP: PHX2,0,1,0
33_4,7:52:00,7:52:00,TUS11,2,STOP: TUS11,1,1,0
33_5,7:00:00,7:00:00,PHX2,1,STOP: PHX2,1,1,1
33_5,8:07:00,8:07:00,TUS11,2,STOP: TUS11,1,0,1
33_6,7:15:00,7:15:00,PHX2,1,STOP: PHX2,0,0,1
33_6,8:22:00,8:22:00,TUS11,2,STOP: TUS11,1,1,1
33_7,7:30:00,7:30:00,PHX2,1,STOP: PHX2,2,0,0
33_7,8:37:00,8:37:00,TUS11,2,STOP: TUS11,2,2,0
33_8,7:45:00,7:45:00,PHX2,1,STOP: PHX2,1,3,1
33_8,8:52:00,8:52:00,TUS11,2,STOP: TUS11,2,2,0
33_9,8:00:00,8:00:00,PHX2,1,STOP: PHX2,2,2,1
33_9,9:07:00,9:07:00,TUS11,2,STOP: TUS11,2,1,0
33_10,8:15:00,8:15:00,PHX2,1,STOP: PHX2,2,2,1
33_10,9:22:00,9:22:00,TUS11,2,STOP: TUS11,1,2,1
33_11,8:30:00,8:30:00,PHX2,1,STOP: PHX2,1,2,0
33_11,9:37:00,9:37:00,TUS11,2,STOP: TUS11,1,1,1
33_12,8:45:00,8:45:00,PHX2,1,STOP: PHX2,1,0,1
33_12,9:52:00,9:52:00,TUS11,2,STOP: TUS11,1,1,1
33_13,9:00:00,9:00:00,PHX2,1,STOP: PHX2,1,1,1
33_13,10:07:00,10:07:00,TUS11,2,STOP: TUS11,1,2,1
34_1,6:00:00,6:00:00,PHX2,1,STOP: PHX2,1,1,0
34_1,7:06:00,7:06:00,TUS12,2,STOP: TUS12,2,2,0
34_2,6:10:00,6:10:00,PHX2,1,STOP: PHX2,0,2,0
34_2,7:16:00,7:16:00,TUS12,2,STOP: TUS12,1,1,1
34_3,6:20:00,6:20:00,PHX2,1,STOP: PHX2,3,1,1
34_3,7:26:00,7:26:00,TUS12,2,STOP: TUS12,2,0,0
34_4,6:30:00,6:30:00,PHX2,1,STOP: PHX2,2,0,0
34_4,7:36:00,7:36:00,TUS12,2,STOP: TUS12,2,1,1
34_5,6:40:00,6:40:00,PHX2,1,STOP: PHX2,2,1,1
34_5,7:46:00,7:46:00,TUS12,2,STOP: TUS12,1,2,0
34_6,6:50:00,6:50:00,PHX2,1,STOP: PHX2,3,1,0
34_6,7:56:00,7:56:00,TUS12,2,STOP: TUS12,2,1,1
34_7,7:00:00,7:00:00,PHX2,1,STOP: PHX2,0,2,0
34_7,8:06:00,8:06:00,TUS12,2,STOP: TUS12,0,3,1
34_8,7:10:00,7:10:00,PHX2,1,STOP: PHX2,3,2,1
34_8,8:16:00,8:16:00,TUS12,2,STOP: TUS12,3,0,0
34_9,7:20:00,7:20:00,PHX2,1,STOP: PHX2,2,1,1
34_9,8:26:00,8:26:00,TUS12,2,STOP: TUS12,1,1,0
34_10,7:30:00,7:30:00,PHX2,1,STOP: PHX2,0,0,0
34_10,8:36:00,8:36:00,TUS12,2,STOP: TUS12,2,2,1
34_11,7:40:00,7:40:00,PHX2,1,STOP: PHX2,1,0,0
34_11,8:46:00,8:46:00,TUS12,2,STOP: TUS12,2,0,0
34_12,7:50:00,7:50:00,PHX2,1,STOP: PHX2,1,2,1
34_12,8:56:00,8:56:00,TUS12,2,STOP: TUS12,2,2,0
34_13,8:00:00,8:00:00,PHX2,1,STOP: PHX2,2,1,0
34_13,9:06:00,9:06:00,TUS12,2,STOP: TUS12,2,0,0
34_14,8:10:00,8:10:00,PHX2,1,STOP: PHX2,3,2,0
34_14,9:16:00,9:16:00,TUS12,2,STOP: TUS12,3,1,0
34_15,8:20:00,8:20:00,PHX2,1,STOP: PHX2,1,1,1
34_15,9:26:00,9:26:00,TUS12,2,STOP: TUS12,2,0,1
34_16,8:30:00,8:30:00,PHX2,1,STOP: PHX2,1,2,0
34_16,9:36:00,9:36:00,TUS12,2,STOP: TUS12,1,1,0
34_17,8:40:00,8:40:00,PHX2,1,STOP: PHX2,1,2,0
34_17,9:46:00,9:46:00,TUS12,2,STOP: TUS12,3,1,0
34_18,8:50:00,8:50:00,PHX2,1,STOP: PHX2,2,3,0
34_18,9:56:00,9:56:00,TUS12,2,STOP: TUS12,1,3,1
34_19,9:00:00,9:00:00,PHX2,1,STOP: PHX2,0,1,1
34_19,10:06:00,10:06:00,TUS12,2,STOP: TUS12,1,3,1
42_1,6:00:00,6:00:00,PHX2,1,STOP: PHX2,2,0,0
42_1,7:23:00,7:23:00,TUS20,2,STOP: TUS20,2,0,1
42_2,6:15:00,6:15:00,PHX2,1,STOP: PHX2,0,1,0
42_2,7:38:00,7:38:00,TUS20,2,STOP: TUS20,1,2,1
42_3,6:30:00,6:30:00,PHX2,1,STOP: PHX2,1,1,1
42_3,7:53:00,7:53:00,TUS20,2,STOP: TUS20,2,2,1
42_4,6:45:00,6:45:00,PHX2,1,STOP: PHX2,3,2,0
42_4,8:08:00,8:08:00,TUS20,2,STOP: TUS20,1,2,1
42_5,7:00:00,7:00:00,PHX2,1,STOP: PHX2,1,2,1
42_5,8:23:00,8:23:00,TUS20,2,STOP: TUS20,2,3,1
42_6,7:15:00,7:15:00,PHX2,1,STOP: PHX2,3,0,1
42_6,8:38:00,8:38:00,TUS20,2,STOP: TUS20,3,2,1
42_7,7:30:00,7:30:00,PHX2,1,STOP: PHX2,2,0,1
42_7,8:53:00,8:53:00,TUS20,2,STOP: TUS20,3,0,1
42_8,7:45:00,7:45:00,PHX2,1,STOP: PHX2,2,2,1
42_8,9:08:00,9:08:00,TUS20,2,STOP: TUS20,1,2,1
42_9,8:00:00,8:00:00,PHX2,1,STOP: PHX2,2,2,1
42_9,9:23:00,9:23:00,TUS20,2,STOP: TUS20,1,1,0
42_10,8:15:00,8:15:00,PHX2,1,STOP: PHX2,3,1,0
42_10,9:38:00,9:38:00,TUS20,2,STOP: TUS20,1,0,0
42_11,8:30:00,8:30:00,PHX2,1,STOP: PHX2,1,2,0
42_11,9:53:00,9:53:00,TUS20,2,STOP: TUS20,1,1,1
42_12,8:45:00,8:45:00,PHX2,1,STOP: PHX2,1,1,1
42_12,10:08:00,10:08:00,TUS20,2,STOP: TUS20,1,2,0
42_13,9:00:00,9:00:00,PHX2,1,STOP: PHX2,2,1,1
42_13,10:23:00,10:23:00,TUS20,2,STOP: TUS20,1,0,0
78_1,6:00:00,6:00:00,PHX4,1,STOP: PHX4,2,1,0
78_1,7:20:00,7:20:00,TUS12,2,STOP: TUS12,2,1,0
78_2,6:12:00,6:12:00,PHX4,1,STOP: PHX4,2,3,0
78_2,7:32:00,7:32:00,TUS12,2,STOP: TUS12,3,0,1
78_3,6:24:00,6:24:00,PHX4,1,STOP: PHX4,1,0,1
78_3,7:44:00,7:44:00,TUS12,2,STOP: TUS12,0,2,1
78_4,6:36:00,6:36:00,PHX4,1,STOP: PHX4,0,1,1
78_4,7:56:00,7:56:00,TUS12,2,STOP: TUS12,3,2,0
78_5,6:48:00,6:48:00,PHX4,1,STOP: PHX4,2,1,1
78_5,8:08:00,8:08:00,TUS12,2,STOP: TUS12,1,1,1
78_6,7:00:00,7:00:00,PHX4,1,STOP: PHX4,2,0,0
78_6,8:20:00,8:20:00,TUS12,2,STOP: TUS12,1,1,0
78_7,7:12:00,7:12:00,PHX4,1,STOP: PHX4,3,1,0
78_7,8:32:00,8:32:00,TUS12,2,STOP: TUS12,2,1,0
78_8,7:24:00,7:24:00,PHX4,1,STOP: PHX4,1,0,0
78_8,8:44:00,8:44:00,TUS12,2,STOP: TUS12,2,1,0
78_9,7:36:00,7:36:00,PHX4,1,STOP: PHX4,2,1,0
78_9,8:56:00,8:56:00,TUS12,2,STOP: TUS12,2,2,0
78_10,7:48:00,7:48:00,PHX4,1,STOP: PHX4,1,1,1
78_10,9:08:00,9:08:00,TUS12,2,STOP: TUS12,2,2,0
78_11,8:00:00,8:00:00,PHX4,1,STOP: PHX4,1,2,0
78_11,9:20:00,9:20:00,TUS12,2,STOP: TUS12,0,0,0
78_12,8:12:00,8:12:00,PHX4,1,STOP: PHX4,2,0,0
78_12,9:32:00,9:32:00,TUS12,2,STOP: TUS12,0,3,0
78_13,8:24:00,8:24:00,PHX4,1,STOP: PHX4,1,0,0
78_13,9:44:00,9:44:00,TUS12,2,STOP: TUS12,2,0,1
78_14,8:36:00,8:36:00,PHX4,1,STOP: PHX4,1,2,1
78_14,9:56:00,9:56:00,TUS12,2,STOP: TUS12,2,3,1
78_15,8:48:00,8:48:00,PHX4,1,STOP: PHX4,1,1,0
78_15,10:08:00,10:08:00,TUS12,2,STOP: TUS12,3,3,0
78_16,9:00:00,9:00:00,PHX4,1,STOP: PHX4,1,1,1
78_16,10:20:00,10:20:00,TUS12,2,STOP: TUS12,0,0,0
97_1,6:00:00,6:00:00,PHX5,1,STOP: PHX5,0,1,0
97_1,7:26:00,7:26:00,TUS9,2,STOP: TUS9,0,2,1
97_2,6:15:00,6:15:00,PHX5,1,STOP: PHX5,2,3,0
97_2,7:41:00,7:41:00,TUS9,2,STOP: TUS9,1,1,1
97_3,6:30:00,6:30:00,PHX5,1,STOP: PHX5,1,2,1
97_3,7:56:00,7:56:00,TUS9,2,STOP: TUS9,2,1,1
97_4,6:45:00,6:45:00,PHX5,1,STOP: PHX5,3,1,1
97_4,8:11:00,8:11:00,TUS9,2,STOP: TUS9,0,2,0
97_5,7:00:00,7:00:00,PHX5,1,STOP: PHX5,0,1,1
97_5,8:26:00,8:26:00,TUS9,2,STOP: TUS9,0,2,0
97_6,7:15:00,7:15:00,PHX5,1,STOP: PHX5,1,2,1
97_6,8:41:00,8:41:00,TUS9,2,STOP: TUS9,1,3,1
97_7,7:30:00,7:30:00,PHX5,1,STOP: PHX5,3,2,0
97_7,8:56:00,8:56:00,TUS9,2,STOP: TUS9,3,3,1
97_8,7:45:00,7:45:00,PHX5,1,STOP: PHX5,0,1,1
97_8,9:11:00,9:11:00,TUS9,2,STOP: TUS9,2,3,0
97_9,8:00:00,8:00:00,PHX5,1,STOP: PHX5,2,2,0
97_9,9:26:00,9:26:00,TUS9,2,STOP: TUS9,2,2,0
97_10,8:15:00,8:15:00,PHX5,1,STOP: PHX5,3,3,0
97_10,9:41:00,9:41:00,TUS9,2,STOP: TUS9,1,3,1
97_11,8:30:00,8:30:00,PHX5,1,STOP: PHX5,1,1,1
97_11,9:56:00,9:56:00,TUS9,2,STOP: TUS9,1,2,0
97_12,8:45:00,8:45:00,PHX5,1,STOP: PHX5,2,0,1
97_12,10:11:00,10:11:00,TUS9,2,STOP: TUS9,0,0,1
97_13,9:00:00,9:00:00,PHX5,1,STOP: PHX5,1,1,1
97_13,10:26:00,10:26:00,TUS9,2,STOP: TUS9,2,2,0
100_1,6:00:00,6:00:00,PHX5,1,STOP: PHX5,3,1,0
100_1,7:14:00,7:14:00,TUS12,2,STOP: TUS12,3,2,1
100_2,6:15:00,6:15:00,PHX5,1,STOP: PHX5,1,0,0
100_2,7:29:00,7:29:00,TUS12,2,STOP: TUS12,1,1,0
100_3,6:30:00,6:30:00,PHX5,1,STOP: PHX5,3,2,0
100_3,7:44:00,7:44:00,TUS12,2,STOP: TUS12,2,0,1
100_4,6:45:00,6:45:00,PHX5,1,STOP: PHX5,2,2,1
100_4,7:59:00,7:59:00,TUS12,2,STOP: TUS12,2,0,1
100_5,7:00:00,7:00:00,PHX5,1,STOP: PHX5,1,0,1
100_5,8:14:00,8:14:00,TUS12,2,STOP: TUS12,3,3,0
100_6,7:15:00,7:15:00,PHX5,1,STOP: PHX5,3,1,1
100_6,8:29:00,8:29:00,TUS12,2,STOP: TUS12,2,0,0
100_7,7:30:00,7:30:00,PHX5,1,STOP: PHX5,0,1,0
100_7,8:44:00,8:44:00,TUS12,2,STOP: TUS12,3,0,1
100_8,7:45:00,7:45:00,PHX5,1,STOP: PHX5,2,2,1
100_8,8:59:00,8:59:00,TUS12,2,STOP: TUS12,2,0,1
100_9,8:00:00,8:00:00,PHX5,1,STOP: PHX5,1,3,1
100_9,9:14:00,9:14:00,TUS12,2,STOP: TUS12,1,3,1
100_10,8:15:00,8:15:00,PHX5,1,STOP: PHX5,0,0,1
100_10,9:29:00,9:29:00,TUS12,2,STOP: TUS12,1,3,0
100_11,8:30:00,8:30:00,PHX5,1,STOP: PHX5,3,2,0
100_11,9:44:00,9:44:00,TUS12,2,STOP: TUS12,2,2,1
100_12,8:45:00,8:45:00,PHX5,1,STOP: PHX5,2,0,0
100_12,9:59:00,9:59:00,TUS12,2,STOP: TUS12,1,3,1
100_13,9:00:00,9:00:00,PHX5,1,STOP: PHX5,2,1,0
100_13,10:14:00,10:14:00,TUS12,2,STOP: TUS12,2,1,1
144_1,6:00:00,6:00:00,PHX7,1,STOP: PHX7,1,2,0
144_1,7:12:00,7:12:00,TUS12,2,STOP: TUS12,1,0,0
144_2,6:10:00,6:10:00,PHX7,1,STOP: PHX7,0,2,0
144_2,7:22:00,7:22:00,TUS12,2,STOP: TUS12,3,2,1
144_3,6:20:00,6:20:00,PHX7,1,STOP: PHX7,1,1,0
144_3,7:32:00,7:32:00,TUS12,2,STOP: TUS12,3,1,0
144_4,6:30:00,6:30:00,PHX7,1,STOP: PHX7,1,2,0
144_4,7:42:00,7:42:00,TUS12,2,STOP: TUS12,0,1,0
144_5,6:40:00,6:40:00,PHX7,1,STOP: PHX7,2,0,0
144_5,7:52:00,7:52:00,TUS12,2,STOP: TUS12,1,0,0
144_6,6:50:00,6:50:00,PHX7,1,STOP: PHX7,2,2,0
144_6,8:02:00,8:02:00,TUS12,2,STOP: TUS12,3,1,0
144_7,7:00:00,7:00:00,PHX7,1,STOP: PHX7,2,0,0
144_7,8:12:00,8:12:00,TUS12,2,STOP: TUS12,1,1,0
144_8,7:10:00,7:10:00,PHX7,1,STOP: PHX7,2,1,0
144_8,8:22:00,8:22:00,TUS12,2,STOP: TUS12,0,1,0
144_9,7:20:00,7:20:00,PHX7,1,STOP: PHX7,3,2,0
144_9,8:32:00,8:32:00,TUS12,2,STOP: TUS12,2,3,1
144_10,7:30:00,7:30:00,PHX7,1,STOP: PHX7,2,1,0
144_10,8:42:00,8:42:00,TUS12,2,STOP: TUS12,1,2,1
144_11,7:40:00,7:40:00,PHX7,1,STOP: PHX7,3,0,1
144_11,8:52:00,8:52:00,TUS12,2,STOP: TUS12,2,2,1
144_12,7:50:00,7:50:00,PHX7,1,STOP: PHX7,1,1,1
144_12,9:02:00,9:02:00,TUS12,2,STOP: TUS12,2,1,0
144_13,8:00:00,8:00:00,PHX7,1,STOP: PHX7,2,1,1
144_13,9:12:00,9:12:00,TUS12,2,STOP: TUS12,1,1,0
144_14,8:10:00,8:10:00,PHX7,1,STOP: PHX7,0,2,1
144_14,9:22:00,9:22:00,TUS12,2,STOP: TUS12,0,1,1
144_15,8:20:00,8:20:00,PHX7,1,STOP: PHX7,2,3,0
144_15,9:32:00,9:32:00,TUS12,2,STOP: TUS12,0,2,1
144_16,8:30:00,8:30:00,PHX7,1,STOP: PHX7,2,2,1
144_16,9:42:00,9:42:00,TUS12,2,STOP: TUS12,0,2,1
144_17,8:40:00,8:40:00,PHX7,1,STOP: PHX7,1,1,1
144_17,9:52:00,9:52:00,TUS12,2,STOP: TUS12,3,1,0
144_18,8:50:00,8:50:00,PHX7,1,STOP: PHX7,1,3,1
144_18,10:02:00,10:02:00,TUS12,2,STOP: TUS12,0,3,0
144_19,9:00:00,9:00:00,PHX7,1,STOP: PHX7,3,3,1
144_19,10:12:00,10:12:00,TUS12,2,STOP: TUS12,1,2,1
152_1,6:00:00,6:00:00,PHX7,1,STOP: PHX7,1,1,0
152_1,7:29:00,7:29:00,TUS20,2,STOP: TUS20,1,1,0
152_2,6:15:00,6:15:00,PHX7,1,STOP: PHX7,2,1,0
152_2,7:44:00,7:44:00,TUS20,2,STOP: TUS20,3,0,0
152_3,6:30:00,6:30:00,PHX7,1,STOP: PHX7,3,2,0
152_3,7:59:00,7:59:00,TUS20,2,STOP: TUS20,2,3,0
152_4,6:45:00,6:45:00,PHX7,1,STOP: PHX7,1,2,0
152_4,8:14:00,8:14:00,TUS20,2,STOP: TUS20,1,2,1
152_5,7:00:00,7:00:00,PHX7,1,STOP: PHX7,1,2,0
152_5,8:29:00,8:29:00,TUS20,2,STOP: TUS20,1,2,0
152_6,7:15:00,7:15:00,PHX7,1,STOP: PHX7,3,3,1
152_6,8:44:00,8:44:00,TUS20,2,STOP: TUS20,3,2,0
152_7,7:30:00,7:30:00,PHX7,1,STOP: PHX7,0,1,0
152_7,8:59:00,8:59:00,TUS20,2,STOP: TUS20,1,1,0
152_8,7:45:00,7:45:00,PHX7,1,STOP: PHX7,0,2,0
152_8,9:14:00,9:14:00,TUS20,2,STOP: TUS20,1,3,0
152_9,8:00:00,8:00:00,PHX7,1,STOP: PHX7,2,0,1
152_9,9:29:00,9:29:00,TUS20,2,STOP: TUS20,3,1,1
152_10,8:15:00,8:15:00,PHX7,1,STOP: PHX7,1,0,1
152_10,9:44:00,9:44:00,TUS20,2,STOP: TUS20,2,0,1
152_11,8:30:00,8:30:00,PHX7,1,STOP: PHX7,1,3,0
152_11,9:59:00,9:59:00,TUS20,2,STOP: TUS20,1,1,0
152_12,8:45:00,8:45:00,PHX7,1,STOP: PHX7,1,1,0
152_12,10:14:00,10:14:00,TUS20,2,STOP: TUS20,3,2,0
152_13,9:00:00,9:00:00,PHX7,1,STOP: PHX7,0,0,1
152_13,10:29:00,10:29:00,TUS20,2,STOP: TUS20,0,2,1
185_1,6:00:00,6:00:00,PHX10,1,STOP: PHX10,1,3,0
185_1,7:14:00,7:14:00,TUS9,2,STOP: TUS9,3,3,0
185_2,6:15:00,6:15:00,PHX10,1,STOP: PHX10,2,0,1
185_2,7:29:00,7:29:00,TUS9,2,STOP: TUS9,2,3,1
185_3,6:30:00,6:30:00,PHX10,1,STOP: PHX10,1,2,0
185_3,7:44:00,7:44:00,TUS9,2,STOP: TUS9,0,0,0
185_4,6:45:00,6:45:00,PHX10,1,STOP: PHX10,1,1,1
185_4,7:59:00,7:59:00,TUS9,2,STOP: TUS9,0,1,0
185_5,7:00:00,7:00:00,PHX10,1,STOP: PHX10,0,1,0
185_5,8:14:00,8:14:00,TUS9,2,STOP: TUS9,1,2,0
185_6,7:15:00,7:15:00,PHX10,1,STOP: PHX10,1,2,1
185_6,8:29:00,8:29:00,TUS9,2,STOP: TUS9,0,1,0
185_7,7:30:00,7:30:00,PHX10,1,STOP: PHX10,2,2,0
185_7,8:44:00,8:44:00,TUS9,2,STOP: TUS9,0,1,0
185_8,7:45:00,7:45:00,PHX10,1,STOP: PHX10,2,2,1
185_8,8:59:00,8:59:00,TUS9,2,STOP: TUS9,1,3,1
185_9,8:00:00,8:00:00,PHX10,1,STOP: PHX10,3,0,0
185_9,9:14:00,9:14:00,TUS9,2,STOP: TUS9,2,1,0
185_10,8:15:00,8:15:00,PHX10,1,STOP: PHX10,1,1,0
185_10,9:29:00,9:29:00,TUS9,2,STOP: TUS9,1,1,1
185_11,8:30:00,8:30:00,PHX10,1,STOP: PHX10,2,0,0
185_11,9:44:00,9:44:00,TUS9,2,STOP: TUS9,1,2,0
185_12,8:45:00,8:45:00,PHX10,1,STOP: PHX10,1,2,1
185_12,9:59:00,9:59:00,TUS9,2,STOP: TUS9,3,2,1
185_13,9:00:00,9:00:00,PHX10,1,STOP: PHX10,1,1,0
185_13,10:14:00,10:14:00,TUS9,2,STOP: TUS9,1,3,0
342_1,6:00:00,6:00:00,PHX17,1,STOP: PHX17,0,2,0
342_1,7:17:00,7:17:00,TUS12,2,STOP: TUS12,1,1,1
342_2,6:02:00,6:02:00,PHX17,1,STOP: PHX17,3,1,1
342_2,7:19:00,7:19:00,TUS12,2,STOP: TUS12,1,2,1
342_3,6:04:00,6:04:00,PHX17,1,STOP: PHX17,2,2,1
342_3,7:21:00,7:21:00,TUS12,2,STOP: TUS12,2,3,1
342_4,6:06:00,6:06:00,PHX17,1,STOP: PHX17,0,3,1
342_4,7:23:00,7:23:00,TUS12,2,STOP: TUS12,2,3,0
342_5,6:08:00,6:08:00,PHX17,1,STOP: PHX17,0,2,1
342_5,7:25:00,7:25:00,TUS12,2,STOP: TUS12,1,1,1
342_6,6:10:00,6:10:00,PHX17,1,STOP: PHX17,1,2,1
342_6,7:27:00,7:27:00,TUS12,2,STOP: TUS12,0,0,1
342_7,6:12:00,6:12:00,PHX17,1,STOP: PHX17,3,2,1
342_7,7:29:00,7:29:00,TUS12,2,STOP: TUS12,1,2,0
342_8,6:14:00,6:14:00,PHX17,1,STOP: PHX17,0,2,1
342_8,7:31:00,7:31:00,TUS12,2,STOP: TUS12,1,3,1
342_9,6:16:00,6:16:00,PHX17,1,STOP: PHX17,2,0,1
342_9,7:33:00,7:33:00,TUS12,2,STOP: TUS12,3,1,1
342_10,6:18:00,6:18:00,PHX17,1,STOP: PHX17,2,1,1
342_10,7:35:00,7:35:00,TUS12,2,STOP: TUS12,1,2,1
342_11,6:20:00,6:20:00,PHX17,1,STOP: PHX17,3,2,0
342_11,7:37:00,7:37:00,TUS12,2,STOP: TUS12,2,1,1
342_12,6:22:00,6:22:00,PHX17,1,STOP: PHX17,2,3,0
342_12,7:39:00,7:39:00,TUS12,2,STOP: TUS12,1,0,0
342_13,6:24:00,6:24:00,PHX17,1,STOP: PHX17,3,1,0
342_13,7:41:00,7:41:00,TUS12,2,STOP: TUS12,3,1,1
342_14,6:26:00,6:26:00,PHX17,1,STOP: PHX17,2,0,0
342_14,7:43:00,7:43:00,TUS12,2,STOP: TUS12,2,2,1
342_15,6:28:00,6:28:00,PHX17,1,STOP: PHX17,1,1,0
342_15,7:45:00,7:45:00,TUS12,2,STOP: TUS12,2,1,1
342_16,6:30:00,6:30:00,PHX17,1,STOP: PHX17,2,3,0
342_16,7:47:00,7:47:00,TUS12,2,STOP: TUS12,3,1,1
342_17,6:32:00,6:32:00,PHX17,1,STOP: PHX17,3,1,0
342_17,7:49:00,7:49:00,TUS12,2,STOP: TUS12,2,0,0
342_18,6:34:00,6:34:00,PHX17,1,STOP: PHX17,0,0,1
342_18,7:51:00,7:51:00,TUS12,2,STOP: TUS12,1,2,0
342_19,6:36:00,6:36:00,PHX17,1,STOP: PHX17,0,1,0
342_19,7:53:00,7:53:00,TUS12,2,STOP: TUS12,2,2,1
342_20,6:38:00,6:38:00,PHX17,1,STOP: PHX17,1,1,0
342_20,7:55:00,7:55:00,TUS12,2,STOP: TUS12,0,2,1
342_21,6:40:00,6:40:00,PHX17,1,STOP: PHX17,1,3,1
342_21,7:57:00,7:57:00,TUS12,2,STOP: TUS12,3,1,1
342_22,6:42:00,6:42:00,PHX17,1,STOP: PHX17,1,2,1
342_22,7:59:00,7:59:00,TUS12,2,STOP: TUS12,1,2,1
342_23,6:44:00,6:44:00,PHX17,1,STOP: PHX17,3,3,0
342_23,8:01:00,8:01:00,TUS12,2,STOP: TUS12,1,0,0
342_24,6:46:00,6:46:00,PHX17,1,STOP: PHX17,0,1,1
342_24,8:03:00,8:03:00,TUS12,2,STOP: TUS12,2,3,1
342_25,6:48:00,6:48:00,PHX17,1,STOP: PHX17,2,3,1
