person_id,person_trip_id,o_taz,d_taz,mode,purpose,departure_time,arrival_time,time_target,vot,pnr_ids
P81,81,1388,3007,PNR-rapid_bus-walk,personal_business,8:55:00,10:15:00,departure,17.5,
P82,82,1388,3007,PNR-rapid_bus-walk,personal_business,8:18:00,9:38:00,departure,17.5,
P83,83,1388,3007,walk-rapid_bus-KNR,social,8:23:00,9:43:00,departure,19,
P84,84,1388,3007,walk-rapid_bus-KNR,social,7:05:00,8:25:00,departure,19,
P85,85,1388,3007,walk-rapid_bus-KNR,social,8:27:00,9:47:00,departure,19,
P86,86,1388,3007,walk-rapid_bus-KNR,social,7:26:00,8:46:00,departure,19,
P87,87,1388,3007,walk-rapid_bus-KNR,social,7:05:00,8:25:00,departure,19,
P88,88,1388,3007,walk-rapid_bus-KNR,social,8:07:00,9:27:00,departure,19,
P89,89,1388,3007,walk-rapid_bus-KNR,social,6:16:00,7:36:00,departure,19,
P90,90,1388,3007,PNR-rapid_bus-walk,shopping,8:34:00,9:54:00,departure,17.5,
P91,91,1388,3007,KNR-rapid_bus-PNR,visitor,6:38:00,7:58:00,departure,19,
P92,92,1388,3007,KNR-rapid_bus-PNR,visitor,7:42:00,9:02:00,departure,19,
P93,93,1388,2914,walk-rapid_bus-KNR,social,6:54:00,8:14:00,departure,19,
P94,94,1388,2914,KNR-rapid_bus-walk,work,6:53:00,8:13:00,departure,24.4,
P95,95,1388,3273,PNR-rapid_bus-walk,work,8:33:00,9:53:00,departure,24.4,
P96,96,1388,3273,PNR-rapid_bus-walk,work,8:13:00,9:33:00,departure,24.4,
P97,97,1388,3273,PNR-rapid_bus-KNR,work,6:41:00,8:01:00,departure,24.4,
P98,98,1388,3273,walk-rapid_bus-KNR,work,7:01:00,8:21:00,departure,24.4,
P99,99,1388,3273,walk-rapid_bus-KNR,work,8:09:00,9:29:00,departure,24.4,
P100,100,1388,3273,PNR-rapid_bus-walk,personal_business,6:53:00,8:13:00,departure,17.5,
P101,101,1388,3273,PNR-rapid_bus-walk,personal_business,8:23:00,9:43:00,departure,17.5,
P102,102,1388,3273,walk-rapid_bus-KNR,social,8:27:00,9:47:00,departure,19,
P103,103,1388,3273,walk-rapid_bus-KNR,social,8:06:00,9:26:00,departure,19,
P104,104,1388,3273,walk-rapid_bus-KNR,social,6:14:00,7:34:00,departure,19,
P105,105,1388,3273,walk-rapid_bus-KNR,social,7:39:00,8:59:00,departure,19,
P106,106,1388,3273,walk-rapid_bus-KNR,social,6:04:00,7:24:00,departure,19,
P107,107,1388,3273,PNR-rapid_bus-walk,shopping,8:26:00,9:46:00,departure,17.5,
P108,108,1388,3273,KNR-rapid_bus-PNR,visitor,6:00:00,7:20:00,departure,19,
P109,109,1388,3273,KNR-rapid_bus-PNR,visitor,8:01:00,9:21:00,departure,19,
P110,110,1388,3148,PNR-rapid_bus-walk,work,7:19:00,8:39:00,departure,24.4,
P111,111,1388,3148,PNR-rapid_bus-walk,work,6:53:00,8:13:00,departure,24.4,
P112,112,1388,3148,PNR-rapid_bus-walk,work,8:23:00,9:43:00,departure,24.4,
P113,113,1388,3148,PNR-rapid_bus-walk,work,6:58:00,8:18:00,departure,24.4,
P114,114,1388,3148,PNR-rapid_bus-walk,work,7:05:00,8:25:00,departure,24.4,
P115,115,1388,3148,PNR-rapid_bus-walk,work,8:30:00,9:50:00,departure,24.4,
P116,116,1388,3148,PNR-rapid_bus-KNR,work,7:55:00,9:15:00,departure,24.4,
P117,117,1388,3148,PNR-rapid_bus-KNR,work,6:43:00,8:03:00,departure,24.4,
P118,118,1388,3148,walk-rapid_bus-KNR,work,7:12:00,8:32:00,departure,24.4,
P119,119,1388,3148,walk-rapid_bus-KNR,work,7:22:00,8:42:00,departure,24.4,
P120,120,1388,3148,walk-rapid_bus-KNR,work,8:23:00,9:43:00,departure,24.4,
P121,121,1388,3148,walk-rapid_bus-KNR,work,7:16:00,8:36:00,departure,24.4,
P122,122,1388,3148,walk-rapid_bus-KNR,work,6:49:00,8:09:00,departure,24.4,
P123,123,1388,3148,walk-rapid_bus-KNR,work,6:09:00,7:29:00,departure,24.4,
P124,124,1388,3148,PNR-rapid_bus-walk,personal_business,6:33:00,7:53:00,departure,17.5,
P125,125,1388,3148,PNR-rapid_bus-walk,personal_business,6:50:00,8:10:00,departure,17.5,
P126,126,1388,3148,PNR-rapid_bus-walk,personal_business,7:15:00,8:35:00,departure,17.5,
P127,127,1388,3148,PNR-rapid_bus-walk,personal_business,6:52:00,8:12:00,departure,17.5,
P128,128,1388,3148,PNR-rapid_bus-walk,personal_business,7:40:00,9:00:00,departure,17.5,
P129,129,1388,3148,PNR-rapid_bus-walk,personal_business,7:55:00,9:15:00,departure,17.5,
P130,130,1388,3148,walk-rapid_bus-KNR,social,8:46:00,10:06:00,departure,19,
P131,131,1388,3148,walk-rapid_bus-KNR,social,6:21:00,7:41:00,departure,19,
P132,132,1388,3148,walk-rapid_bus-KNR,social,6:55:00,8:15:00,departure,19,
P133,133,1388,3148,walk-rapid_bus-KNR,social,8:46:00,10:06:00,departure,19,
P134,134,1388,3148,walk-rapid_bus-KNR,social,6:58:00,8:18:00,departure,19,
P135,135,1388,3148,walk-rapid_bus-KNR,social,6:53:00,8:13:00,departure,19,
P136,136,1388,3148,walk-rapid_bus-KNR,social,8:35:00,9:55:00,departure,19,
P137,137,1388,3148,walk-rapid_bus-KNR,social,8:46:00,10:06:00,departure,19,
P138,138,1388,3148,walk-rapid_bus-KNR,social,7:32:00,8:52:00,departure,19,
P139,139,1388,3148,walk-rapid_bus-KNR,social,8:34:00,9:54:00,departure,19,
P140,140,1388,3148,walk-rapid_bus-KNR,social,7:49:00,9:09:00,departure,19,
P141,141,1388,3148,walk-rapid_bus-KNR,social,6:37:00,7:57:00,departure,19,
P142,142,1388,3148,walk-rapid_bus-KNR,social,8:47:00,10:07:00,departure,19,
P143,143,1388,3148,walk-rapid_bus-KNR,social,7:59:00,9:19:00,departure,19,
P144,144,1388,3148,PNR-rapid_bus-walk,shopping,7:15:00,8:35:00,departure,17.5,
P145,145,1388,3148,PNR-rapid_bus-walk,shopping,7:13:00,8:33:00,departure,17.5,
P146,146,1388,3148,KNR-rapid_bus-PNR,visitor,8:57:00,10:17:00,departure,19,
P147,147,1388,3148,KNR-rapid_bus-PNR,visitor,8:18:00,9:38:00,departure,19,
P148,148,1388,3148,KNR-rapid_bus-PNR,visitor,7:54:00,9:14:00,departure,19,
P149,149,1388,3148,KNR-rapid_bus-PNR,visitor,6:10:00,7:30:00,departure,19,
P150,150,1388,3105,PNR-rapid_bus-walk,work,7:58:00,9:18:00,departure,24.4,
P151,151,1388,3105,PNR-rapid_bus-KNR,work,8:34:00,9:54:00,departure,24.4,
P152,152,1388,3105,walk-rapid_bus-KNR,work,8:16:00,9:36:00,departure,24.4,
P153,153,1388,3105,PNR-rapid_bus-walk,personal_business,8:29:00,9:49:00,departure,17.5,
P154,154,1388,3105,walk-rapid_bus-KNR,social,6:08:00,7:28:00,departure,19,
P155,155,1388,3105,walk-rapid_bus-KNR,social,6:12:00,7:32:00,departure,19,
P156,156,1388,3105,walk-rapid_bus-KNR,social,7:31:00,8:51:00,departure,19,
P157,157,1388,3105,KNR-rapid_bus-PNR,visitor,7:41:00,9:01:00,departure,19,
P158,158,1388,3105,KNR-rapid_bus-walk,work,6:01:00,7:21:00,departure,24.4,
P159,159,1388,3071,PNR-rapid_bus-KNR,work,8:06:00,9:26:00,departure,24.4,
P160,160,1388,3071,walk-rapid_bus-KNR,social,7:39:00,8:59:00,departure,19,
P161,161,1388,3071,KNR-rapid_bus-walk,work,8:58:00,10:18:00,departure,24.4,
P162,162,1302,2721,walk-rapid_bus-KNR,social,6:14:00,7:34:00,departure,19,
P163,163,1302,2721,KNR-rapid_bus-walk,work,7:36:00,8:56:00,departure,24.4,
P164,164,1302,2534,KNR-rapid_bus-KNR,social,6:36:00,7:56:00,departure,19,
P165,165,1302,2534,KNR-rapid_bus-KNR,social,7:36:00,8:56:00,departure,19,
P166,166,1302,2534,KNR-rapid_bus-KNR,social,6:40:00,8:00:00,departure,19,
P167,167,1302,2534,KNR-rapid_bus-KNR,social,6:44:00,8:04:00,departure,19,
P168,168,1302,2534,KNR-rapid_bus-KNR,social,8:01:00,9:21:00,departure,19,
P169,169,1302,2534,KNR-rapid_bus-KNR,social,8:30:00,9:50:00,departure,19,
P170,170,1302,2534,KNR-rapid_bus-KNR,social,8:46:00,10:06:00,departure,19,
P171,171,1302,2937,PNR-rapid_bus-walk,work,6:28:00,7:48:00,departure,24.4,
P172,172,1302,2937,walk-rapid_bus-KNR,work,7:20:00,8:40:00,departure,24.4,
P173,173,1302,2937,PNR-rapid_bus-walk,personal_business,8:59:00,10:19:00,departure,17.5,
P174,174,1302,2937,walk-rapid_bus-KNR,social,8:22:00,9:42:00,departure,19,
P175,175,1302,2592,KNR-rapid_bus-walk,work,7:57:00,9:17:00,departure,24.4,
P176,176,1302,2561,KNR-rapid_bus-KNR,social,7:47:00,9:07:00,departure,19,
P177,177,1302,2627,PNR-rapid_bus-walk,work,7:50:00,9:10:00,departure,24.4,
P178,178,1302,2627,walk-rapid_bus-KNR,work,7:05:00,8:25:00,departure,24.4,
P179,179,1302,2627,PNR-rapid_bus-walk,personal_business,8:46:00,10:06:00,departure,17.5,
P180,180,1302,2627,walk-rapid_bus-KNR,social,7:34:00,8:54:00,departure,19,
P181,181,1302,2627,walk-rapid_bus-KNR,social,7:16:00,8:36:00,departure,19,
P182,182,1302,3230,PNR-rapid_bus-walk,work,8:48:00,10:08:00,departure,24.4,
P183,183,1302,3230,PNR-rapid_bus-walk,work,8:30:00,9:50:00,departure,24.4,
P184,184,1302,3230,PNR-rapid_bus-walk,work,7:28:00,8:48:00,departure,24.4,
P185,185,1302,3230,walk-rapid_bus-KNR,work,8:30:00,9:50:00,departure,24.4,
P186,186,1302,3230,walk-rapid_bus-KNR,work,8:05:00,9:25:00,departure,24.4,
P187,187,1302,3230,walk-rapid_bus-KNR,work,8:51:00,10:11:00,departure,24.4,
P188,188,1302,3230,PNR-rapid_bus-walk,personal_business,7:38:00,8:58:00,departure,17.5,
P189,189,1302,3230,PNR-rapid_bus-walk,personal_business,8:01:00,9:21:00,departure,17.5,
P190,190,1302,3230,PNR-rapid_bus-walk,personal_business,6:49:00,8:09:00,departure,17.5,
P191,191,1302,3230,walk-rapid_bus-KNR,social,7:23:00,8:43:00,departure,19,
P192,192,1302,3230,walk-rapid_bus-KNR,social,7:17:00,8:37:00,departure,19,
P193,193,1302,3230,walk-rapid_bus-KNR,social,6:45:00,8:05:00,departure,19,
P194,194,1302,3230,walk-rapid_bus-KNR,social,7:51:00,9:11:00,departure,19,
P195,195,1302,3230,walk-rapid_bus-KNR,social,8:33:00,9:53:00,departure,19,
P196,196,1302,3230,walk-rapid_bus-KNR,social,6:11:00,7:31:00,departure,19,
P197,197,1302,3230,PNR-rapid_bus-walk,shopping,6:05:00,7:25:00,departure,17.5,
P198,198,1302,3230,KNR-rapid_bus-PNR,visitor,7:51:00,9:11:00,departure,19,
P199,199,1302,3022,PNR-rapid_bus-walk,work,6:08:00,7:28:00,departure,24.4,
P200,200,1302,3022,PNR-rapid_bus-walk,work,6:02:00,7:22:00,departure,24.4,
P201,201,1302,3022,PNR-rapid_bus-walk,work,6:33:00,7:53:00,departure,24.4,
P202,202,1302,3022,walk-rapid_bus-KNR,work,7:08:00,8:28:00,departure,24.4,
P203,203,1302,3022,walk-rapid_bus-KNR,work,7:15:00,8:35:00,departure,24.4,
P204,204,1302,3022,walk-rapid_bus-KNR,work,6:29:00,7:49:00,departure,24.4,
P205,205,1302,3022,PNR-rapid_bus-walk,personal_business,7:11:00,8:31:00,departure,17.5,
P206,206,1302,3022,PNR-rapid_bus-walk,personal_business,8:05:00,9:25:00,departure,17.5,
P207,207,1302,3022,PNR-rapid_bus-walk,personal_business,7:25:00,8:45:00,departure,17.5,
P208,208,1302,3022,walk-rapid_bus-KNR,social,8:26:00,9:46:00,departure,19,
P209,209,1302,3022,walk-rapid_bus-KNR,social,7:49:00,9:09:00,departure,19,
P210,210,1302,3022,walk-rapid_bus-KNR,social,7:41:00,9:01:00,departure,19,
P211,211,1302,3022,walk-rapid_bus-KNR,social,8:43:00,10:03:00,departure,19,
P212,212,1302,3022,walk-rapid_bus-KNR,social,7:57:00,9:17:00,departure,19,
P213,213,1302,3022,walk-rapid_bus-KNR,social,8:01:00,9:21:00,departure,19,
P214,214,1302,3022,PNR-rapid_bus-walk,shopping,8:06:00,9:26:00,departure,17.5,
P215,215,1302,3022,KNR-rapid_bus-PNR,visitor,7:54:00,9:14:00,departure,19,
P216,216,1302,3074,PNR-rapid_bus-walk,work,8:32:00,9:52:00,departure,24.4,
P217,217,1302,3074,PNR-rapid_bus-walk,work,6:11:00,7:31:00,departure,24.4,
P218,218,1302,3074,PNR-rapid_bus-walk,work,7:13:00,8:33:00,departure,24.4,
P219,219,1302,3074,PNR-rapid_bus-walk,work,8:37:00,9:57:00,departure,24.4,
P220,220,1302,3074,PNR-rapid_bus-walk,work,7:41:00,9:01:00,departure,24.4,
P221,221,1302,3074,PNR-rapid_bus-walk,work,7:55:00,9:15:00,departure,24.4,
P222,222,1302,3074,PNR-rapid_bus-walk,work,8:26:00,9:46:00,departure,24.4,
P223,223,1302,3074,PNR-rapid_bus-walk,work,8:13:00,9:33:00,departure,24.4,
P224,224,1302,3074,PNR-rapid_bus-walk,work,8:02:00,9:22:00,departure,24.4,
P225,225,1302,3074,PNR-rapid_bus-walk,work,7:21:00,8:41:00,departure,24.4,
P226,226,1302,3074,PNR-rapid_bus-walk,work,6:43:00,8:03:00,departure,24.4,
P227,227,1302,3074,PNR-rapid_bus-walk,work,7:03:00,8:23:00,departure,24.4,
P228,228,1302,3074,PNR-rapid_bus-walk,work,6:56:00,8:16:00,departure,24.4,
P229,229,1302,3074,PNR-rapid_bus-walk,work,8:53:00,10:13:00,departure,24.4,
P230,230,1302,3074,PNR-rapid_bus-walk,work,6:31:00,7:51:00,departure,24.4,
P231,231,1302,3074,PNR-rapid_bus-walk,work,6:00:00,7:20:00,departure,24.4,
P232,232,1302,3074,PNR-rapid_bus-walk,work,8:14:00,9:34:00,departure,24.4,
P233,233,1302,3074,PNR-rapid_bus-walk,work,6:31:00,7:51:00,departure,24.4,
P234,234,1302,3074,PNR-rapid_bus-walk,work,6:56:00,8:16:00,departure,24.4,
P235,235,1302,3074,PNR-rapid_bus-walk,work,8:19:00,9:39:00,departure,24.4,
P236,236,1302,3074,PNR-rapid_bus-walk,work,6:51:00,8:11:00,departure,24.4,
P237,237,1302,3074,PNR-rapid_bus-walk,work,6:13:00,7:33:00,departure,24.4,
P238,238,1302,3074,PNR-rapid_bus-walk,work,7:56:00,9:16:00,departure,24.4,
P239,239,1302,3074,PNR-rapid_bus-walk,work,6:32:00,7:52:00,departure,24.4,
P240,240,1302,3074,PNR-rapid_bus-walk,work,7:52:00,9:12:00,departure,24.4,
P241,241,1302,3074,PNR-rapid_bus-walk,work,7:47:00,9:07:00,departure,24.4,
P242,242,1302,3074,PNR-rapid_bus-KNR,work,7:25:00,8:45:00,departure,24.4,
P243,243,1302,3074,PNR-rapid_bus-KNR,work,7:57:00,9:17:00,departure,24.4,
P244,244,1302,3074,PNR-rapid_bus-KNR,work,8:06:00,9:26:00,departure,24.4,
P245,245,1302,3074,PNR-rapid_bus-KNR,work,6:52:00,8:12:00,departure,24.4,
P246,246,1302,3074,PNR-rapid_bus-KNR,work,8:36:00,9:56:00,departure,24.4,
P247,247,1302,3074,PNR-rapid_bus-KNR,work,7:11:00,8:31:00,departure,24.4,
P248,248,1302,3074,PNR-rapid_bus-KNR,work,8:12:00,9:32:00,departure,24.4,
P249,249,1302,3074,PNR-rapid_bus-KNR,work,6:27:00,7:47:00,departure,24.4,
P250,250,1302,3074,PNR-rapid_bus-KNR,work,6:57:00,8:17:00,departure,24.4,
P251,251,1302,3074,walk-rapid_bus-KNR,work,6:44:00,8:04:00,departure,24.4,
P252,252,1302,3074,walk-rapid_bus-KNR,work,7:22:00,8:42:00,departure,24.4,
P253,253,1302,3074,walk-rapid_bus-KNR,work,8:38:00,9:58:00,departure,24.4,
P254,254,1302,3074,walk-rapid_bus-KNR,work,6:37:00,7:57:00,departure,24.4,
P255,255,1302,3074,walk-rapid_bus-KNR,work,6:08:00,7:28:00,departure,24.4,
P256,256,1302,3074,walk-rapid_bus-KNR,work,6:25:00,7:45:00,departure,24.4,
P257,257,1302,3074,walk-rapid_bus-KNR,work,8:44:00,10:04:00,departure,24.4,
P258,258,1302,3074,walk-rapid_bus-KNR,work,7:07:00,8:27:00,departure,24.4,
P259,259,1302,3074,walk-rapid_bus-KNR,work,7:24:00,8:44:00,departure,24.4,
P260,260,1302,3074,walk-rapid_bus-KNR,work,7:01:00,8:21:00,departure,24.4,
P261,261,1302,3074,walk-rapid_bus-KNR,work,8:21:00,9:41:00,departure,24.4,
P262,262,1302,3074,walk-rapid_bus-KNR,work,6:58:00,8:18:00,departure,24.4,
P263,263,1302,3074,walk-rapid_bus-KNR,work,8:40:00,10:00:00,departure,24.4,
P264,264,1302,3074,walk-rapid_bus-KNR,work,8:29:00,9:49:00,departure,24.4,
P265,265,1302,3074,walk-rapid_bus-KNR,work,6:45:00,8:05:00,departure,24.4,
P266,266,1302,3074,walk-rapid_bus-KNR,work,7:33:00,8:53:00,departure,24.4,
P267,267,1302,3074,walk-rapid_bus-KNR,work,8:34:00,9:54:00,departure,24.4,
P268,268,1302,3074,walk-rapid_bus-KNR,work,7:21:00,8:41:00,departure,24.4,
P269,269,1302,3074,walk-rapid_bus-KNR,work,8:49:00,10:09:00,departure,24.4,
P270,270,1302,3074,walk-rapid_bus-KNR,work,8:16:00,9:36:00,departure,24.4,
P271,271,1302,3074,walk-rapid_bus-KNR,work,6:24:00,7:44:00,departure,24.4,
P272,272,1302,3074,walk-rapid_bus-KNR,work,6:21:00,7:41:00,departure,24.4,
P273,273,1302,3074,walk-rapid_bus-KNR,work,8:19:00,9:39:00,departure,24.4,
P274,274,1302,3074,walk-rapid_bus-KNR,work,8:33:00,9:53:00,departure,24.4,
P275,275,1302,3074,walk-rapid_bus-KNR,work,8:46:00,10:06:00,departure,24.4,
P276,276,1302,3074,walk-rapid_bus-KNR,work,6:21:00,7:41:00,departure,24.4,
P277,277,1302,3074,PNR-rapid_bus-walk,personal_business,6:54:00,8:14:00,departure,17.5,
P278,278,1302,3074,PNR-rapid_bus-walk,personal_business,7:36:00,8:56:00,departure,17.5,
P279,279,1302,3074,PNR-rapid_bus-walk,personal_business,6:55:00,8:15:00,departure,17.5,
P280,280,1302,3074,PNR-rapid_bus-walk,personal_business,8:47:00,10:07:00,departure,17.5,
P281,281,1302,3074,PNR-rapid_bus-walk,personal_business,8:26:00,9:46:00,departure,17.5,
P282,282,1302,3074,PNR-rapid_bus-walk,personal_business,6:08:00,7:28:00,departure,17.5,
P283,283,1302,3074,PNR-rapid_bus-walk,personal_business,7:53:00,9:13:00,departure,17.5,
P284,284,1302,3074,PNR-rapid_bus-walk,personal_business,7:42:00,9:02:00,departure,17.5,
P285,285,1302,3074,PNR-rapid_bus-walk,personal_business,8:28:00,9:48:00,departure,17.5,
P286,286,1302,3074,PNR-rapid_bus-walk,personal_business,8:13:00,9:33:00,departure,17.5,
P287,287,1302,3074,PNR-rapid_bus-walk,personal_business,8:22:00,9:42:00,departure,17.5,
P288,288,1302,3074,PNR-rapid_bus-walk,personal_business,8:20:00,9:40:00,departure,17.5,
P289,289,1302,3074,PNR-rapid_bus-walk,personal_business,8:56:00,10:16:00,departure,17.5,
P290,290,1302,3074,PNR-rapid_bus-walk,personal_business,8:22:00,9:42:00,departure,17.5,
P291,291,1302,3074,PNR-rapid_bus-walk,personal_business,7:50:00,9:10:00,departure,17.5,
P292,292,1302,3074,PNR-rapid_bus-walk,personal_business,6:09:00,7:29:00,departure,17.5,
P293,293,1302,3074,PNR-rapid_bus-walk,personal_business,7:52:00,9:12:00,departure,17.5,
P294,294,1302,3074,PNR-rapid_bus-walk,personal_business,7:05:00,8:25:00,departure,17.5,
